Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
GREENDELT,Green Delta Insurance Ltd.,64.30,64.30,3:45 PM,64.00 - 65.00,0,1.66,0.00%,63.90 - 128.50,65.00,"25,838.00",64.30,102,64.30,"6,442.101","5,000.00",,"1,001.88",Equity,10.0,1,"100,188,194",Insurance,"Green Delta AIMS Tower (6th Floor) 51-52, Mohakhali C/A, Dhaka-1212","(880-2) 222263902, 222261170, 222281171, EXT: 246",+(880-2) 985-1124,share@green-delta.com,http://www.green-delta.com,Md. Oliullah Khan FCS,01730029747,"8802 222263902, 222261170, 222281171 Ext-246",oli@green-delta.com
GSPFINANCE,GSP Finance Company (Bangladesh) Limited,32.20,32.20,3:45 PM,31.50 - 32.50,0.8,66.78,2.55%,20.50 - 34.70,31.90,"2,081,691.00",31.40,520,31.40,"4,931.954","2,000.00",,"1,570.69",Equity,10.0,1,"157,068,585",Financial Institutions,"1, Paribagh, Mymensingh Road, Ramna, Dhakaâ€ 1000.",+8802 223360506,+8802 223360194,secretariat@gspfinance.com,http://www.gspfinance.com,Md. Mizanur Rahman,01768-729301,880-2 9674306 Ext-288,mizannt@yahoo.com
HAKKANIPUL,Hakkani Pulp & Paper Mills Ltd.,61.30,61.20,3:45 PM,61.10 - 64.30,-1,10.51,-1.61%,46.90 - 97.30,64.30,"170,678.00",62.30,393,62.30,"1,183.700",500.00,,190.00,Equity,10.0,1,"19,000,000",Paper & Printing,"2/10 D.T.Road. North Pahartali,  Chittagong and Flat#B-3, Topkhana Road, Purana Paltan, Dhaka-1000(Share Office)","01714-87508, +88-02-43151463,+88-02-43151464-65 (PABX), FAX-'+88-02-43152344",+88-02-43152344,companysecretary@hakkanigroup.com,http://www.hakkanigroup.com,Mohammad Musa,01714-087510,"+88-02-43151463-EXT-126,",companysecretary@hakkanigroup.com
HEIDELBCEM,Heidelberg Cement Bangladesh Ltd.,188.20,188.20,3:45 PM,188.20 - 190.00,-3.8,0.65,-1.98%,188.20 - 379.00,190.00,"3,477.00",192.00,69,192.00,"10,848.689","1,000.00",,565.04,Equity,10.0,1,"56,503,590",Cement,"\""Symphony\"" (6th & 7th Floor), Plot্# SE(F)9, Road# 142, Gulshan Avenue (South), Gulshan-1, Dhaka-1212.","02-8815602, '02-58814700 (Ext.:304 & 305)",02-58812584,info.heidelbergcementbd.com,http://www.heidelbergcementbd.com,Md. Emdadul Haque,01730 337 871,"880-02-58811691, Ext.:301",md.emdadul.haque@heidelbergcement.com
HFL,Hamid Fabrics Limited,21.60,21.60,3:45 PM,21.60 - 22.80,-0.4,20.65,-1.82%,16.20 - 38.50,22.80,"941,031.00",22.00,680,22.00,"2,003.261","2,000.00","04 Dec, 2014",910.57,Equity,10.0,1,"91,057,312",Textile,"Hamid Tower (6th Floor)rn24, Gulshan C/A, Circle-2, Dhaka-1212, Bangladesh","8802-883 45 64-65, 883 41 04, 989 45 89; Ext. 401, 402",8802-5881 3077,info@mahingroup.com,http://www.mahingroup.com,ASM Mijanur Rahman,01755 630 983,"8802-883 45 64-65, Ext. - 401",mijan_hfl@mahingroup.com
HRTEX,H.R.Textile Ltd.,123.10,123.10,3:45 PM,114.50 - 124.20,8,75.81,6.95%,51.00 - 124.20,115.30,"632,364.00",115.10,"1,315",115.10,"3,057.632","1,000.00",,265.65,Equity,10.0,1,"26,565,000",Textile,"Pride Hamza (5th floor), House # 54, Road # 01, Sector # 06, Uttara, Dhaka-1230.",01990409190,8802-222299147,hrtex_cs@pride-grp.com,http://www.pride-grp.com/hrt,Md. Wali Ullah,(+88) 01990409011,,waliullah_cs@pride-grp.com
HWAWELLTEX,Hwa Well Textiles (BD) Limited,44.90,44.10,3:45 PM,43.90 - 44.90,0.8,0.45,1.81%,39.70 - 52.50,44.10,"10,216.00",44.10,20,44.10,"2,469.600","1,000.00","14 May, 2014",560.00,Equity,10.0,1,"56,000,000",Textile,"Alamin Icon Center, Flat # A7, Level # 7, House # 57/4, Pragati Sarani, Kuril Bishwa Road, Dhaka - 1212.","880-2-8412935, 8412936",880-2-8412937,share@hwawelltex.com,http://www.hwawelltex.com,Devabrata Saha,01841041441,880-2-8412937,devabrata@hwawelltex.com
IBBLPBOND,IBBL Mudaraba Perpetual Bond,"1,058.00","1,058.00",3:45 PM,"1,058.00 - 1,058.00",0,0.92,0.00%,"965.50 - 1,123.50","1,058.00",872.00,"1,058.00",7,"1,058.00","3,174.000",-,,"3,000.00",Corporate Bond,1000.0,1,"3,000,000",Corporate Bond,"Head Office, Islami Bank Tower,40, Dilkusha Commercial Area, Dhaka-1000.","9563040, 9567161 - 7, 9560099","880 - 02 - 9564532, 9568634",www.islamibankbd.com,http://www.islamibankbd.com,,,,
IBNSINA,The IBN SINA  Pharmaceutical Industry Ltd.,286.00,286.00,3:45 PM,282.00 - 286.00,2.8,8.24,0.99%,251.10 - 307.00,282.10,"28,854.00",283.20,91,283.20,"8,848.195",500.00,,312.44,Equity,10.0,1,"31,243,627",Pharmaceuticals & Chemicals,"Tanin Center, Plot-3, Asad Gate, Mirpur Road, Mohammadpur, Dhaka-1207",02-41022151-8,880-2-9118847,shareipi@ibnsinapharma.com,http://www.ibnsinapharma.com,Md. Kabir Hossain,01713 094075,02-41022151-8,cs@ibnsinapharma.com
IBP,Indo-Bangla Pharmaceuticals Limited,17.30,17.30,3:45 PM,17.30 - 17.90,-0.3,10.42,-1.70%,16.40 - 27.90,17.80,"597,238.00",17.60,327,17.60,"2,001.774","1,500.00","18 Oct, 2018","1,137.37",Equity,10.0,1,"113,737,140",Pharmaceuticals & Chemicals,"Plot # 183 (7th floor), Road # 04, Block # B, Ahmed Akbar Sobhan Road, Bashundhara R/A, Baridhara, Dhaka-1229","09678777995, 0431-61028, 0431-2174977",,info@indo-banglapharma.com,http://www.indo-banglapharma.com,Mohi Uddin,1777685176,9678777995,mahfuzdk85@yahoo.com
ICB,Investment Corporation Of Bangladesh,95.80,95.50,3:45 PM,95.00 - 97.80,-0.1,2.35,-0.10%,93.70 - 174.00,97.40,"24,534.00",95.90,129,95.90,"77,277.709","10,000.00",,"8,058.16",Equity,10.0,1,"805,815,527",Financial Institutions,"BDBL Building (Level 14-17),  8, Rajuk Avenue (Level 14-21), Motijheel C/A, Dhaka -1000","02223358158, 09666777778 Ext-1414.",88-02-223383313,icb@agni.com,http://www.icb.gov.bd,Mrs. Ruksana Yasmin,01674904507,02223353319,dgm_secretary@icb.gov.bd
ICB3RDNRB,ICB AMCL Third NRB Mutual Fund,6.70,6.70,3:45 PM,6.60 - 7.00,0.1,0.47,1.52%,6.00 - 8.00,6.60,"69,346.00",6.60,55,6.60,660.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"Green City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICBAGRANI1,ICB AMCL First Agrani Bank Mutual Fund,9.30,9.50,3:45 PM,9.30 - 10.00,0,0.00,0.00%,8.40 - 10.20,10.00,425.00,9.30,7,9.30,912.804,-,"08 Oct, 2017",982.00,Mutual Fund,10.0,1,"98,151,000",Mutual Funds,"Green City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",Phone: +88-02-8300412,Fax: +88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICBAMCL2ND,ICB AMCL Second Mutual Fund,8.80,8.70,3:45 PM,8.60 - 9.00,0.1,0.27,1.15%,8.10 - 15.30,9.00,"30,606.00",8.70,24,8.70,435.000,-,,500.00,Mutual Fund,10.0,1,"50,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICBEPMF1S1,ICB Employees Provident MF 1,7.10,7.10,3:45 PM,7.00 - 7.10,0,0.15,0.00%,6.60 - 8.80,7.10,"20,588.00",7.10,23,7.10,532.500,-,,750.00,Mutual Fund,10.0,1,"75,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ICBIBANK,ICB Islamic Bank Limited,5.70,5.70,3:45 PM,5.70 - 6.00,-0.1,21.99,-1.72%,3.80 - 7.40,5.70,"3,839,586.00",5.80,585,5.80,"3,855.273","15,000.00",,"6,647.02",Equity,10.0,1,"664,702,300",Bank,"T.K. Bhaban (15th Floor), 13, Karwan Bazar, Dhaka - 1215","55012061-65, 55012079",55012060,ds.board@icbislamic-bd.com,http://www.icbislamic-bd.com,"Uttam Kumar Dey, FCS",01847090781,55012061-65 Ext. 110,ds.board@icbislamic-bd.com
ICBSONALI1,ICB AMCL Sonali Bank Limited 1st Mutual Fund,7.80,7.80,3:45 PM,7.70 - 8.00,0.1,0.04,1.30%,7.40 - 9.80,8.00,"4,604.00",7.70,15,7.70,770.000,-,"12 Jun, 2013","1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"ICB Asset Management Company Limited, rnGreen City Edge(4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
IDLC,IDLC Finance Ltd.,46.60,46.60,3:45 PM,46.20 - 47.50,0.1,3.28,0.22%,45.30 - 75.40,47.50,"70,178.00",46.50,160,46.50,"19,329.980","10,000.00",,"4,156.98",Equity,10.0,1,"415,698,485",Financial Institutions,"Bay’s Galleria (1st Floor), 57 Gulshan Avenue, Dhaka 1212",+880 (2) 883 4990 (Auto Hunting),+880 (2) 883 4377,companysecretary@idlc.com,http://www.idlc.com,Abul Fazal Mohamed Rubayat ACS,01730374531,+880 (2) 883 4990 ext. 144 (Auto Hunting),mrubayat@idlc.com
IFADAUTOS,IFAD Autos Limited,47.20,47.20,3:45 PM,46.50 - 48.00,0.7,7.19,1.51%,43.10 - 68.40,48.00,"152,664.00",46.50,358,46.50,"11,762.194","3,000.00","05 Feb, 2015","2,529.50",Equity,10.0,1,"252,950,412",Engineering,"Sonar Tori Tower (13th-18th Floor) 12, Bipanan C/A, Sonargaon Road, Dhaka-1000","01966670916, 09612114444, +88 02 9632753-7, +88 02 9632761-2","8870304,  9632764",contact@ifadautos.com,http://www.ifadautos.com,"Md. Sazzad Hossain Talukder, ACS",01966670915,"+88 02 9632753-7, +88 02 9632761-2, Ext-304",cs.ial@ifadgroup.com
IFIC,IFIC Bank Ltd.,11.70,11.70,3:45 PM,11.70 - 12.10,-0.2,25.63,-1.68%,10.70 - 21.80,12.00,"2,165,679.00",11.90,600,11.90,"21,252.340","40,000.00",,"17,859.10",Equity,10.0,1,"1,785,910,939",Bank,"IFIC Tower, 61, Purana Paltan, Dhaka - 1000",09666716250 (Hunting)  Ext.234,02-9554102,info@ificbankbd.com,http://www.ificbank.com.bd,Mr. Md. Mokammel Hoque,01711082129,"0966671625, Ext. 122",mokammel@ificbankbd.com
IFIC1STMF,IFIC Bank 1st Mutual Fund,5.30,5.20,3:45 PM,5.20 - 5.30,0,0.19,0.00%,5.10 - 7.90,5.20,"35,584.00",5.30,28,5.30,965.490,-,,"1,821.67",Mutual Fund,10.0,1,"182,167,965",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
IFILISLMF1,IFIL Islamic Mutual Fund-1,6.40,6.50,3:45 PM,6.40 - 6.60,-0.1,0.08,-1.54%,6.10 - 7.80,6.40,"11,890.00",6.50,38,6.50,650.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"ICB Asset Management Company Ltd.,rnGreen City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
ILFSL,International Leasing & Financial Services Ltd.,5.10,5.10,3:45 PM,5.00 - 5.20,0.1,1.39,2.00%,5.00 - 11.20,5.10,"272,614.00",5.00,96,5.00,"1,109.051","3,000.00",,"2,218.10",Equity,10.0,1,"221,810,246",Financial Institutions,"DR Tower (13th Floor), 65/2/2, Bir Protik Gazi Golam Dostogir Road, Purana Paltan, Dhaka - 1000","+880-2-9559639, 9586671-75;",+880-2-9559640,info@ilfsl.com,http://www.ilfsl.com,Rahat Mahmud,01710059743,"+880-2-9559639, 9586671-75 (Extension: 157)",rahat@ilfsl.com
IMAMBUTTON,Imam Button Industries Ltd.,134.30,134.30,3:45 PM,134.30 - 134.30,-2.7,0.10,-1.97%,22.60 - 156.80,134.30,706.00,137.00,8,137.00,"1,054.900",100.00,,77.00,Equity,10.0,1,"7,700,000",Pharmaceuticals & Chemicals,"Bhuiyan Mansion (6th Floor), 6, Motijheel C/A, Dhaka-1000.","9551837,  9558617",880 - 02 - 9564238,n/a,http://www.imambutton.com,,,,
INDEXAGRO,Index Agro Industries Limited,105.90,106.10,3:45 PM,105.80 - 110.00,-1.9,6.38,-1.76%,92.60 - 148.00,110.00,"60,022.00",107.80,304,107.80,"5,093.943","1,000.00","07 Apr, 2021",472.54,Equity,10.0,1,"47,253,649",Miscellaneous,"MF Tower (4th floor), GA-95/C, Middle Badda, Progati Sarani, Dhaka-1212.","02-58817175, 02-222296442",02-58814759,info@index-companies.com,http://www.index-agro.com,Abu Jafar Ali ACS,01844004026,,jafar@index-companies.com
INTECH,Intech  Limited,32.10,32.10,3:45 PM,32.00 - 33.20,-0.5,20.53,-1.53%,25.60 - 45.50,32.00,"637,386.00",32.60,679,32.60,"1,021.072","1,200.00",,313.21,Equity,10.0,1,"31,321,226",IT Sector,"Apartment # A (1st floor), Plot #11/B, Block -CWS (A), Road # 30, Gulshan-1, Dhaka-1212.",01322-894549-50,,info@intechworld.net,http://www.intechworld.net,Md. Emran Hossain Niloy,01322-894545,,cs@intechworld.net
INTRACO,Intraco Refueling Station Limited,28.90,28.90,3:45 PM,28.80 - 30.20,-0.4,115.00,-1.37%,17.70 - 32.50,29.60,"3,950,567.00",29.30,"1,316",29.30,"2,878.220","1,500.00","17 May, 2018",982.33,Equity,10.0,1,"98,232,750",Fuel & Power,"House # 40, Block-J, Pragati Sarani,rnBaridhara, Dhaka- 1212.","88-02-9881887,8833854",88 02 9849851,salahuddin@intracogroup.com,http://www.intracorefueling.com,G.M Salahuddin,01975006060,,salahuddin@intracogroup.com
IPDC,IPDC Finance Limited,59.50,59.50,3:45 PM,57.70 - 60.20,0.7,145.00,1.19%,28.80 - 64.90,57.70,"2,442,948.00",58.80,672,58.80,"21,820.183","8,000.00",,"3,710.92",Equity,10.0,1,"371,091,547",Financial Institutions,"Head Office, 106, Gulshan Avenue, Hosna Center (4th Floor),Dhaka-1212",+880255068931-36 Ext-154,+880255068928 +880255068930,csipdc@ipdcbd.com,http://www.ipdcbd.com,Samiul Hashim,01713463307,+880 55068931-36 Ext-112,samiul.hashim@ipdcbd.com
ISLAMIBANK,Islami Bank Bangladesh Limited,32.80,33.00,3:45 PM,32.70 - 33.10,-0.2,9.15,-0.61%,28.50 - 35.40,32.70,"278,038.00",33.00,127,33.00,"53,129.692","20,000.00",,"16,100.00",Equity,10.0,1,"1,609,990,668",Bank,"Islami Bank Tower, 40, Dilkusha C/A, Dhaka - 1000rnAndrn63, Dilkusha Commercial Arearn(5th Floor) Dhaka-1000 (Share Office)","(+88-02) 9551105, 9551062, 9550415, Ext-627, 624, 615, Direct: 9564595","(+88-02) 9564532, 9568634",info@islamibankbd.com,http://www.islamibankbd.com,"J Q M Habibullah, FCS",+88-01713046179,+88-02 9563040 (114) Direct: (+88-02) 9552639,Ibblbs@islamibankbd.com
ISLAMICFIN,Islamic Finance & Investment Ltd.,20.00,20.00,3:45 PM,19.90 - 21.30,-0.3,4.50,-1.48%,19.80 - 35.40,20.80,"223,194.00",20.30,246,20.30,"2,848.631","2,500.00",,"1,403.27",Equity,10.0,1,"140,326,670",Financial Institutions,"Head Office: Impetus Centre (3rd floor), 242/B, Tejgaon- Gulshan Link Road, Tejgaon I/A, Dhaka-1208",88 02 8878725-31,88 02 8878777,info@ifilbd.com,http://www.ifilbd.com,S.Q. Bazlur Rashid,01713018135,88 02 8878725-31 ext. 105,bazlur.rashid@ifilbd.com
ISLAMIINS,Islami Insurance Bangladesh Limited,41.00,40.50,3:45 PM,39.60 - 41.00,0.8,4.20,1.99%,39.20 - 79.60,41.00,"104,394.00",40.20,206,40.20,"1,654.842","1,000.00",,411.65,Equity,10.0,1,"41,165,215",Insurance,"DR Tower (11th Floor), 65/2/2 Purana Paltan (Box Culvert Road) Dhaka-1000.",880-2-55112831-33,+88029562213,islamiinsurance@gmail.com,http://www.islamiinsurance.com,Md. Mujibur Rahman,01727346971,880-2-55112837,islamiinsurance.cs@gmail.com
ISNLTD,Information Services Network Ltd.,57.20,57.20,3:45 PM,57.20 - 62.80,-1.1,12.07,-1.89%,30.00 - 64.20,62.80,"210,286.00",58.30,331,58.30,636.636,500.00,,109.20,Equity,10.0,1,"10,920,003",IT Sector,"TMC Building ( 4th Floor ), 52, New Eskaton, Dhaka - 1000",+880-2  - 48322785-8/ 09602000001,88-02- 9345460,info@bangla.net,http://www.bangla.net,Fakhrul Islam Bhuiyan,01714- 317138/01939-904381,9602000001 (127),secretary.isn@bangla.net.bd
ITC,IT Consultants Limited,33.90,33.90,3:45 PM,33.00 - 34.10,0.5,2.45,1.50%,30.60 - 47.40,33.00,"72,240.00",33.40,95,33.40,"4,294.995","2,000.00","10 Jan, 2016","1,285.93",Equity,10.0,1,"128,592,664",IT Sector,"Evergreen Plaza (3rd Floor), 260/B, Tejgaon I/A, Dhaka -1208","+88 02 9830310-13, +88 02 9830310-13, Ext-2070",+88 02 9830309,anindya@itcbd.com,http://www.itcbd.com,Anindya Sarkar,01730-799989,"+88 02-9830310-13, Ext-2070",anindya@itcbd.com
JAMUNABANK,Jamuna Bank Ltd.,21.70,21.70,3:45 PM,21.60 - 22.30,-0.2,6.87,-0.91%,19.10 - 26.40,21.90,"315,628.00",21.90,135,21.90,"16,408.042","10,000.00",,"7,492.26",Equity,10.0,1,"749,225,650",Bank,"Jamuna Bank Tower, Plot-14, Block-CWS(C), Bir Uttam AK Khandaker Road, Gulsan model town, Dhaka",+8809610005678 Ex 0119,,head.share@jamunabank.com.bd,http://www.jamunabankbd.com,Mr. M. A. rouf,+8801777743611,+8809610005678 Ex.0106,roufjbl71@yahoo.com
JAMUNAOIL,Jamuna Oil Company Limited,168.00,168.00,3:45 PM,168.00 - 170.10,-1.1,1.17,-0.65%,155.40 - 199.80,168.50,"6,928.00",169.10,53,169.10,"18,672.800","3,000.00",,"1,104.25",Equity,10.0,1,"110,424,600",Fuel & Power,"Jamuna Bhaban, Agrabad Commercial ArearnChattogram-4100","031-724384, 031-720181-3 031-2520134-92520408,",88-031-713289,joclbd@yahoo.com,http://www.jamunaoil.gov.bd,MD.Masudul Islam,01711-722500,031-724335 031-2520134-9 Ext-214,csjocl2013@gmail.com
JANATAINS,Janata Insurance Company Ltd.,29.40,29.40,3:45 PM,29.40 - 30.30,-0.5,1.93,-1.67%,29.40 - 64.60,30.00,"65,170.00",29.90,145,29.90,"1,327.501","1,000.00",,443.98,Equity,10.0,1,"44,398,012",Insurance,"Janata Insurance Bhaban, GA/95/D, Link Road,Middle Badda,Gulshan- 1, Dhaka- 1212.","02-222262181-82, Ext. 112",,share@jiclbd.com,http://www.jiclbd.com,Mr. Md. Imtiaz Bhuiyan,01741897767,222296183 02-222262181-82 Extn. 112,share@jiclbd.com
JHRML,JMI Hospital Requisite Manufacturing Limited,72.80,72.80,3:45 PM,72.80 - 75.60,-1.4,68.83,-1.89%,22.00 - 97.00,75.00,"937,090.00",74.20,"1,688",74.20,"9,296.824","3,000.00","31 Mar, 2022","1,252.94",Equity,10.0,1,"125,294,120",Miscellaneous,"Holdings # 72/C, Progoti Shoroni, Middle Badda, Dhaka-1212",+88-02-55138723-24,+88-02-55138725,cs@jhrml-bd.com,http://www.jhrml-bd.com,Md. Safiqur Rahaman FCS,01777742569,,cs@jhrml-bd.com
JMISMDL,JMI Syringes & Medical Devices Ltd.,302.20,302.20,3:45 PM,300.00 - 309.00,2,4.45,0.67%,294.00 - 429.80,309.00,"14,763.00",300.20,167,300.20,"6,634.420","1,000.00","19 Jun, 2013",221.00,Equity,10.0,1,"22,100,000",Pharmaceuticals & Chemicals,"Unique Heights, Level-11, 117 Kazi Nazrul Islam Avenue, Ramna, Dhaka- 1217rnAndrn29/C & 29/D, Tejgaon Industrial ArearnTejgaon, Dhaka-1208 (Share Office)","55138723, 55138724, '8170681-5","55138725, 8170686",info@jmisyringe.com,http://www.jmisyringe.com,Muhammad Tarek Hossain Khan,01777742344,"55138723, 55138724 Ext no. 307",tarek@jmigroup-bd.com
JUTESPINN,Jute Spinners Ltd.,155.00,155.00,3:45 PM,148.00 - 164.00,5.4,2.11,3.61%,94.50 - 192.00,148.00,"13,377.00",149.60,124,149.60,254.320,35.00,,17.00,Equity,10.0,1,"1,700,000",Jute,"House # 71, Road # 9/A (New), Dhanmondi R/A, Dhaka -1209","880-2-8129149, 8113202, 8130463",88 - 02 - 8111650,shams@dhaka.agni.com,,,,,
KARNAPHULI,Karnaphuli Insurance Company Ltd.,29.00,28.80,3:45 PM,28.70 - 30.00,-0.2,2.75,-0.68%,28.70 - 51.90,30.00,"94,413.00",29.20,141,29.20,"1,310.383",600.00,,448.76,Equity,10.0,1,"44,876,114",Insurance,"Meghna Life-Karnaphuli Bima Bhaban (13-14 floor), 11/B and D, Toyenbee Circular Road, Motijheel C/A,  Dhaka - 1000","0223384808, 0223384809",88-02-9555802,kiclshare@yahoo.com,http://www.kiclbd.com,Mrs. F. J. M. Hafiza Sultana,01911263981,9569043 (Direct),kiclshare@yahoo.com
KAY&QUE,Kay & Que (Bangladesh) Ltd.,252.70,252.70,3:45 PM,244.20 - 259.00,12.5,5.11,5.20%,219.00 - 348.90,248.40,"20,460.00",240.20,215,240.20,"1,236.467","1,000.00",,51.48,Equity,10.0,1,"5,147,657",Engineering,"Anchor Towerrnrn108, Bir Uttam C. R. Datta RoadrnrnDhaka-1205.",02-58610012-18. 02-58610027,+88 - 02 - 9662734,info@kayandque.com,http://www.kayandque.com,Mr. Sayed Ahmad,01313-093636,02-58610012-8 (Ext. 108),sayed.ahmad@multimodebd.com
KBPPWBIL,Khan Brothers PP Woven Bag Industries Limited,14.00,14.00,3:45 PM,14.00 - 14.60,-0.2,12.77,-1.41%,9.60 - 17.00,14.40,"904,554.00",14.20,466,14.20,"1,392.734","1,500.00","18 Nov, 2014",980.80,Equity,10.0,1,"98,079,877",Miscellaneous,"KBG Tower (7th & 8th Floor), 15 DIT Road, Malibagh Chowdhurypara,  Dhaka-1219.","8332069, 8332108, 8355726",8332576,info@kbgbd.com,http://www.kbgbd.com,Tapan Kumar Sarker,01611524105,"8332069, 8332108, 8355726       Ext-110",tkumar30@gmail.com
KDSALTD,KDS Accessories Limited,74.50,74.50,3:45 PM,70.40 - 74.80,3.8,172.54,5.37%,48.20 - 84.40,70.80,"2,376,543.00",70.70,"2,942",70.70,"5,032.593","2,000.00","15 Oct, 2015",711.82,Equity,10.0,1,"71,182,361",Engineering,"191-192, Baizid Bostami Road,rnNasirabad I/A, Chattogram- 4210.","031-681240-4, 031-681701-3, 031-685207-9",031-682137,"accessories@kdsgroup.net, manjure.khuda@kdsgroup.net",http://www.kdsaccessories.com,Manjure Khuda,01777775343,"031-681701-3, 031-685207-9, Ext-152",manjure.khuda@kdsgroup.net
KEYACOSMET,Keya Cosmetics Ltd.,6.60,6.60,3:45 PM,6.60 - 6.80,0,12.32,0.00%,6.50 - 11.20,6.70,"1,854,095.00",6.60,510,6.60,"7,275.294","15,000.00",,"11,023.20",Equity,10.0,1,"1,102,317,325",Pharmaceuticals & Chemicals,"Jarun, Konabari, Gazipur.","01751 787781, '01998 008511",9297778,keyacosmetics@keya-bd.com,http://www.keyagroupbd.com,Md. Noor Hossain,01712675421,,noorhossain@keya-bd.com
KOHINOOR,Kohinoor Chemicals Company (Bangladesh) Ltd.,382.60,383.00,3:45 PM,382.00 - 390.00,-0.1,7.82,-0.03%,361.30 - 549.00,390.00,"20,363.00",382.70,284,382.70,"9,770.661",500.00,,255.31,Equity,10.0,1,"25,530,863",Pharmaceuticals & Chemicals,"Orion House, 153-154 Tejgaon I/ArnDhaka-1208","+88028870146, +88028870133",+88028870130 +88028891523,-,http://www.kohinoor-bd.com,"Mohd. Shamim Kabir, FCMA",01711402522,"8891267-70, Ext-251",shamim.accounts@kccl-bd.com
KPCL,Khulna Power Company Limited,28.00,28.00,3:45 PM,28.00 - 28.80,-0.5,3.97,-1.75%,26.40 - 52.50,28.00,"141,852.00",28.50,175,28.50,"11,326.276","7,000.00",,"3,974.13",Equity,10.0,1,"397,413,179",Fuel & Power,"Landmark (3rd Floor), 12-14 Gulshan North C/A, Gulshan-2, Dhaka-1212","58810932, 58810892, 58810868, 9844217",+88 - 02 - 9843989,"kpcl@khulnapower.com , share.kpcl@khulnapower.com",http://www.khulnapower.com,Md. Mozammel Hossain,+88 01841403333,"58810932, 58810892, 58810868, 9844217 Ext. 25",mozammel@khulnapower.com
KPPL,Khulna Printing & Packaging Limited,9.20,9.20,3:45 PM,9.00 - 9.30,0.2,2.27,2.22%,8.20 - 17.80,9.00,"250,005.00",9.00,120,9.00,657.360,"1,000.00","18 Aug, 2014",730.40,Equity,10.0,1,"73,040,000",Paper & Printing,"Khulna mongla road, Katakhali, Shambagath, Post: lockpur, PS: Fakirhat, Dist: Bagerhat, Khulna.","02222221176, 0466356016-7,0466356016-7",02222221176,kppl_07@yahoo.com,http://www.lockpurgroup.org,Md. Milan Khan,01733909666,,mdmilankhan12@gmail.com
KTL,Kattali Textile Limited,23.10,23.10,3:45 PM,23.10 - 24.00,-0.4,54.97,-1.70%,23.10 - 41.80,23.50,"2,370,707.00",23.50,"1,245",23.50,"2,733.172","1,500.00","12 Nov, 2018","1,163.05",Equity,10.0,1,"116,305,200",Textile,"BM Heights (8th Floor), 318, Sk. Mujib Road, Badamtali, Agrabad, Chattogram.","031-2511654, 031-2770044",031-2511654,ktltd1947@gmail.com,http://www.ktlbd.com,Sattabrata Das,01726735408,031-2511654,sattal3514@gmail.com
LANKABAFIN,LankaBangla Finance Ltd.,26.40,26.40,3:45 PM,26.30 - 27.00,-0.2,15.55,-0.75%,26.20 - 47.50,26.90,"586,193.00",26.60,487,26.60,"14,333.107","10,000.00",,"5,388.39",Equity,10.0,1,"538,838,623",Financial Institutions,"Safura Tower (Level-11), 20 Kemal Ataturk Avenue,  Banani, Dhaka-1213",+88 02 222283701-10,+88 02 58810998,mostafa@lankabangla.com,http://www.lankabangla.com,Mostafa Kamal FCA,+88 013137 95833,+88 02 222283701-10 (Ext. 404),mostafa@lankabangla.com
